author,text,likeCount,publishedAt
@PapaLuvCook,"peluang terakhir bisa gol itu, kurang tenang struik",0,2024-09-06T06:49:08Z
@bearnotallowed,Menunggu bung handuk komentar negatif 😂😂,0,2024-09-06T06:49:06Z
@Andika-wn5bv,Ragnar mantab bangettt,0,2024-09-06T06:48:56Z
@Doaibu-j5v,Mantaaap,0,2024-09-06T06:48:45Z
@SutrisnoNano-d3w,kaya nnton Inggris Vs Arab 😂😂,0,2024-09-06T06:48:18Z
@Alzaid24,"Efek beberapa pemain timnas umroh, efek paus dateng ke indonesia, efek kerja keras pemain dan official, dan effek doa seluruh rakyat indonesia (kecuali toel)...lanjutkan perjuangan kalian anak muda, jalan masih cukup terjal sampai ke pildun, semangat 45, kalian 100% warga indonesia.",0,2024-09-06T06:48:02Z
@DAFFA-SAD,"Dari starting eleven inti hanya 2 pemain asli indonesia witan dan rizky ridho,.keren untuk mereka berdua,tak tergantikan👍",0,2024-09-06T06:47:54Z
@MohyunusAhmad,Apalah wasit nya dikit dikit niup peluit,0,2024-09-06T06:47:53Z
@edisyafitri9520,Permainan kelas duniaaa,0,2024-09-06T06:47:50Z
@HendraZava-v2w,Pmain kita kita kelelahan sodaraku insyaaloh kita gass di tmpat kita dan pasti saya teriak sekeras mungkin ngsih dukungan untuk timnas indonesiaku....,0,2024-09-06T06:47:50Z
@erwinvatra3419,Keren.... Terimakasih timnas Indonesia.insyallah kita menuju pildun..bravo,1,2024-09-06T06:47:01Z
@zikrarisandya6661,itulah guna pemaen eropa dan Amerika kalo ngadelin pemaen liga 1 atau pemaen natural yg maen di liga 1  gak bakal maju,0,2024-09-06T06:46:58Z
@rurihardiansyah9075,Klo lapangannya bagus Indonesia keliatan maennya bagus banget keren,0,2024-09-06T06:46:58Z
