author,text,likeCount,publishedAt
@elhaqtabassama590,Sangat luar biasa perjuangan semua P eman timnas. Untuk apa mempermasalahkan naturalisasi?  Mereka katurunan Indonesia. Mereka sangat cinta Indonesia. Mereka punya skill yang mambanggakan. Tolong sudahi ujaran yang mempermasalahkan naturalisasi. Percaya kan sepak bola pada ahlinya,0,2024-09-20T11:36:22Z
@haryotosoares5291,"Bisa buat contoh pemain lokal aja. Coba lihat tom haye, dia udah habis nafas juga ngos2an tp smpai 90 menit tetep lari semangat. Ayo bangkit sepakbola indonesia",0,2024-09-20T07:19:56Z
@KentungAsu,"Berbahagialah kita sebagai rakyat indonesia
Kehadiran erick tohir membuat sepak bola indonesia mulai menunjukkan taringnya
Kita bisaaa",0,2024-09-20T04:51:36Z
@TriWinarsih-mn6py,"Timnas makin ganas 😮
Best 😘 💞",0,2024-09-20T03:51:20Z
@RizkyRazza-s4c,rumput macam apa ini,0,2024-09-20T02:53:06Z
@langit2707,Dulu pas pildun jagoin australi brazil.  . Sekarang laut australu di gbk . Wah,0,2024-09-20T01:12:02Z
@acepsumirat6661,"Gbk kalau broadcast nya RCTI berekelas banget,komentatornya bung ahay bung ma'ruf berkelas,,tapi kalau ditangan broadcast liga duhh maaf apalagi komentator nya 😂😂😂😂😂 tau lah😂😂

Semoga match timnas senior/u23 terus RCTI broadcast nya",0,2024-09-19T11:47:41Z
@humblegod2268,Australia VS Timnas Belanda,0,2024-09-19T11:30:38Z
@transbustami943,Untung aja bukan mang sodik kipernya,0,2024-09-19T10:09:42Z
@Maxwell_Gaming18,Bang aku di stadion,0,2024-09-19T09:45:10Z
@AlessandroMsiren-h6e,komentator tdk netral...lebih mendukung tinas indonesia...,0,2024-09-19T09:27:07Z
@jameslukaspangestu17,𝐈𝐧𝐝𝐨𝐧𝐞𝐬𝐢𝐚 𝐀𝐮𝐬𝐭𝐫𝐚𝐥𝐢𝐚 𝐢𝐬 𝐭𝐡𝐞 𝐛𝐞𝐬𝐭 🇮🇩🇦🇺,0,2024-09-19T07:28:22Z
@ikharu2201,indonesia sekarang mirip spanyol..walaupun spanyol kecil..tapi luar biasa🎉,0,2024-09-19T05:35:47Z
@fahmielhalimy,timnas perlu  pemain cepat seperti sayuri yg punya spontanitas yg baik dan ulet,0,2024-09-19T04:37:04Z
@WetontoroToroweton,Kipar kita bukanlah Muslim.Jadi dia ngak ngerti Alhamdulilh.Memalukan sj.,0,2024-09-18T12:24:02Z
@Fatihulazhar,Paes,0,2024-09-18T12:20:26Z
@AkmalludenWen-x1c,Asalamualaikum,0,2024-09-18T12:09:18Z
@AkmalludenWen-x1c,M,0,2024-09-18T12:08:38Z
@Xplorimen,Inggris vs Belanda 🎉😂,0,2024-09-18T11:24:49Z
@2468ChanelYo,Rcti kameranya somooth ya..bak liga sepanyol,0,2024-09-18T10:39:29Z
@cryptosepuluh1492,"Mainnya paes kayak aku main waktu muda. Bedanya dia menepis keluar, saya menepis kedalam..",0,2024-09-18T08:46:04Z
@INDRA-HD,Tom haye posisi kurang semangat.,0,2024-09-18T07:51:41Z
@deheslingingsleser1148,"terlepas pro dan kontranya naturalisasi
tidak bisa dibantah bahwa mereka mengharumkan nama indonesia",0,2024-09-18T05:55:55Z
