author,text,likeCount,publishedAt
@chaguyanakintanboy2081,Wonderful Indonesian 🇮🇩 amazing crazy 17000 island on earth 😯... Amazing suporter Indonesian 80.000 full stadium GBK Jakarta.. red Jersey 😮,1,2024-09-13T20:27:09Z
@Hubbi_magfir,"for all country plays against Indonesia, they start pointing fingers, thinking the issue is with their own team. But the real deal? It's that Indonesia's football has leveled up and left them behind",20,2024-09-13T10:15:53Z
@tuansu161,"Chúc mừng Indonesia, Asean đặt niềm tin vào các bạn",189,2024-09-13T09:43:33Z
@AliSusanto-ob9wc,Indonesia good,0,2024-09-13T07:47:20Z
@wijayagaming1482,"Australia is not experiencing setbacks, but Indonesia is experiencing progress, but is progress still on the way to perfection!",0,2024-09-13T07:35:33Z
@morning3389,"wow Indonesia  vs australia the match that almost made my heart stop, Australia played fast attacking on all sides..when the ball was near the goal I turned off the TV afraid to see the goal conceded. but the Indonesian goalkeeper was a hero, if Ernando was guarding the goal it would definitely be 10-0..Australia win. today  lucky Indonesia",0,2024-09-13T07:34:54Z
@Sakit-Sehat0,"Australia tidak jelek,hanya indonesia yang bagus lebih maju.",0,2024-09-13T06:16:14Z
@mozofoz,"Kudos to Indonesia, Australia threw everything at them in that 2nd half and couldn't break them.  Socceroos building themselves a big hole to climb out of to qualify for next WC.",10,2024-09-13T05:04:40Z
@andrynoeg3061,"menurut gw.... Komentar Si Duke tentang momen menyanyikan ""Tanah Airku"" adalah bentuk frustrasi dan tekanan yg sangat besar....😄😄",0,2024-09-13T02:41:39Z
@Anone_Anone,Ok mate,0,2024-09-12T22:02:32Z
@PMnguyenthainam,Indo WC,0,2024-09-12T16:08:39Z
@soel8995,Tim Australia datang dengan ambisi menang setelah kalah lawan Bahrain di kandang namun timnas Indonesia takkan membiarkan mereka ambil poin dengan mudah semoga away nanti bisa ambil poin di Australia,0,2024-09-12T14:24:00Z
@m-kingchanell8000,"benar . australia tidak mundur . tapi indonesia terlalu cepat untuk berkembang . 
salam tetangga dari kami . pecinta bola dari sabang sampai merauke",0,2024-09-12T13:51:05Z
@dgyjr9816,"Tolong ajari Mitchelle Duck arti dari kata ""Menghargai dan Respect""",0,2024-09-12T13:22:06Z
@skawanlovers,"For us, Australia's level is far above ours, so with a draw we are very proud because 1 point is very valuable for us, maybe for Australia it is normal because you often enter the cup.",0,2024-09-12T13:13:14Z
@aseprismunandar1079,Menyala king indo.....gaskeun barudak...welll,0,2024-09-12T13:11:25Z
@matthew.kunovic,Sack Graham Arnold,2,2024-09-12T13:08:42Z
@sonnylala29,Permainan australia sangat buruk..terlalu sombong dan sok hebat..sepanjang permainan hanya.bermain bola crossing..bola bola udara..jika bermain seperti ini lawan jepang arab saudi di jamin kalah,0,2024-09-12T12:50:49Z
@stevannyandara5853,"here we see Australia playing aggressively, fortunately the Indonesian goalkeeper was able to hold the ball and the defenders were quite good. ranked 134 vs 24 in the world...oh my gosh..Don't worry Australia..same like Arab too  ,what you hope for is they can get points from China and Bahrain again..but Japan or Arab will find it difficult",10,2024-09-12T11:26:39Z
@cumideh9574,Paes ❤,0,2024-09-12T10:53:00Z
@baikal7404,Hebat australia bisa nahan imbang indonesia,0,2024-09-12T10:34:49Z
@korokkorokbo8826,Indonesia players 9 from Netherland...2 from indonesia😂...,0,2024-09-12T09:55:33Z
@thebops4180,Australian soccer is EMBARRASSING!,0,2024-09-12T09:40:31Z
@kimociAraAra-g1h,Jamin pasti naik peringkat OMG kok bisa menahan imbang raksasa ini😊,0,2024-09-12T09:30:56Z
@letohpapu4319,I thoughtt it was bafana bafana 😅,0,2024-09-12T09:18:03Z
@MinaYT,"Disappointing for Australia, really!",0,2024-09-12T08:48:44Z
@BoyMan-ss9sx,Raja gopal changer Arnold ✅🤣,0,2024-09-12T07:49:53Z
@sigityuniarto7694,"Actually both teams played well, but they were too careful so there were no speculative shots to score goals",0,2024-09-12T07:47:50Z
@rahimfrick7835,Bagus Indonesian mantap main cara ini Best of the best,0,2024-09-12T07:20:53Z
@H-if3eu,"Australia→Bahrain 0-1 HOME
Japan→Bahrain 5-0 AWAY",0,2024-09-12T06:34:44Z
@goodlucx,I indonesia sering salah umpan,0,2024-09-12T06:04:39Z
@SigitRamadhan07,Terimakasih Terbang Tinggi Timnas Garuda Indonesia ❤  🦅 🇮🇩,4,2024-09-12T06:03:29Z
@kuantanlee4684,"Aus next time can draw brunei,malaysia, singapore too....😂😂😂",0,2024-09-12T05:35:09Z
@baksokintul,losing to a country ranked 130th is embarrassing,0,2024-09-12T04:20:42Z
@ariowibowo9353,todays its not aussie luck... watch 2nd game.. indonesia get 2 new player for frontline (new striker),0,2024-09-12T03:58:22Z
@Scuppun,"Well done to Indonesia.  The Socceroos were absolutely terrible, predictable, unadventurous,  slow..... need i go on?  Arnold needs to go.  So too does the upper management of Football Australia.   Absolutely no vision.  This is why Ange won't coach them again.  No support from the FA",0,2024-09-12T03:47:18Z
@krxdda1047,BRO WHY ARE OUR GOOD PLAYERS NEVER ON THE FIELD TOGETHER? Why all the washed a league players ? 😅,0,2024-09-12T03:33:31Z
@rojiimamanwari6067,"Australia amazing
Marteen paes full amazing❤",0,2024-09-12T03:16:26Z
@Charango123quena,"This is the definition of insanity , do the same this over and over again and expect  a different outcome .  Australia  needs a new coach .  Here's  a novel idea .. why not get a coach  from  South America at half the cost and twice the quality . The most mediocre coach in Brazil  could teach these boys a thing or two. Why do we always look at Europe  when the bulk  of the world's best players  come from South America  . This is the continent that has football  as a religion",0,2024-09-12T03:14:53Z
